om,mp,metric,value
1,MP 1,change_cs,42193500.64193387
1,MP 1,cs_per_trip,3.703063891028802
1,MP 1,expense,470962691.77343416
1,MP 1,keep_one,0.19275726598399567
1,MP 1,kept per trip,0.2742959283793607
1,MP 1,kept:released,0.1016500645516013
1,MP 1,mulen_keep,19.829984758389493
1,MP 1,mulen_release,13.695496836620196
1,MP 1,not overfished,1
1,MP 1,not overfishing,1
1,MP 1,ntrips,11219635.449349664
1,MP 1,prop_female,0.6760176
1,MP 1,rec_removals,6331.296
1,MP 1,rel per trip,2.904177702106608
1,MP 1,spawning biomass,67513.7005
1,MP 1,total catch,15934.841499999999
1,MP 1,trophy,0.017089769542281093
1,MP 2,change_cs,151938974.21291643
1,MP 2,cs_per_trip,12.89599400843241
1,MP 2,expense,492358827.7473384
1,MP 2,keep_one,0.2840074015972063
1,MP 2,kept per trip,0.4711975422248928
1,MP 2,kept:released,0.20744871067926318
1,MP 2,mulen_keep,18.51208589665122
1,MP 2,mulen_release,13.29638737219954
1,MP 2,not overfished,1
1,MP 2,not overfishing,1
1,MP 2,ntrips,11723959.48971355
1,MP 2,prop_female,0.60724822
1,MP 2,rec_removals,8156.8255
1,MP 2,rel per trip,2.4469749572575688
1,MP 2,spawning biomass,60503.883
1,MP 2,total catch,16468.3815
1,MP 2,trophy,0.008342672492989936
1,MP 3,change_cs,45690457.42205597
1,MP 3,cs_per_trip,4.000692293078848
1,MP 3,expense,474542267.9251311
1,MP 3,keep_one,0.19664559660944914
1,MP 3,kept per trip,0.27862848957842823
1,MP 3,kept:released,0.10395866028488923
1,MP 3,mulen_keep,19.838815515798068
1,MP 3,mulen_release,13.682717881291325
1,MP 3,not overfished,1
1,MP 3,not overfishing,1
1,MP 3,ntrips,11308952.642933302
1,MP 3,prop_female,0.67670085
1,MP 3,rec_removals,6497.814
1,MP 3,rel per trip,2.8929704453142766
1,MP 3,spawning biomass,67290.5975
1,MP 3,total catch,15986.2425
1,MP 3,trophy,0.017801483591562417
1,MP 4,change_cs,154365485.1431964
1,MP 4,cs_per_trip,13.10006301460631
1,MP 4,expense,492660026.4132347
1,MP 4,keep_one,0.2791875983997673
1,MP 4,kept per trip,0.47845773262233393
1,MP 4,kept:released,0.20172832987349004
1,MP 4,mulen_keep,18.52954330524347
1,MP 4,mulen_release,13.3070393926774
1,MP 4,not overfished,1
1,MP 4,not overfishing,1
1,MP 4,ntrips,11735069.92774692
1,MP 4,prop_female,0.60753815
1,MP 4,rec_removals,8337.497500000001
1,MP 4,rel per trip,2.554196952405193
1,MP 4,spawning biomass,59794.657999999996
1,MP 4,total catch,16526.447
1,MP 4,trophy,0.008087423706177488
1,MP 6,change_cs,162169402.6674571
1,MP 6,cs_per_trip,13.502467430800255
1,MP 6,expense,495753534.12704605
1,MP 6,keep_one,0.3009936102296833
1,MP 6,kept per trip,0.5036916461597811
1,MP 6,kept:released,0.24047185401497112
1,MP 6,mulen_keep,18.31453047689859
1,MP 6,mulen_release,13.156127558548754
1,MP 6,not overfished,1
