metric,min_val,max_val
change_cs,-196612554.08059397,-29451259.761441007
cs_per_trip,-18.667205132777095,-3.011334000085036
expense,402482699.6101506,437317580.34412694
keep_one,0.18517724767981952,0.3473993703759227
kept per trip,0.26084286547213786,0.6160812971108124
kept:released,0.09736046096606515,0.37631306977650403
mulen_keep,16.968399399435995,19.82875726268015
mulen_release,12.96029726303404,13.697402665423844
not overfished,1,1
not overfishing,0,1
ntrips,9588698.963847376,10417705.277274381
rec_removals,5181.237499999999,6756.011
spawning biomass,36963.5255,46397.172
total catch,11718.573,12104.4205
trophy,0,0.01593645052044076
