metric,min_val,max_val
change_cs,-242202234.3528213,-42193500.64193387
cs_per_trip,-19.8733872075276,-3.703063891028802
expense,470962691.77343416,513041949.12283766
keep_one,0.19275726598399567,0.3566048643513617
kept per trip,0.2742959283793607,0.6417805602029175
kept:released,0.1016500645516013,0.38951417151833434
mulen_keep,16.98611926137596,19.838815515798068
mulen_release,12.98694481336847,13.695496836620196
ntrips,11219635.449349664,12223675.619559415
P(not overfished),1,1
P(not overfishing),0.6,1
rec_removals,6331.296,8337.497500000001
spawning biomass,56554.4045,67513.7005
total catch,15833.8765,16526.447
trophy,0,0.017801483591562417
