metric,min_val,max_val
expense,41.78504462478854,41.9303773740603
keep_wt,3077.2650000000003,7815.195
kept per trip,0.192274365970439,0.7349007160352284
kept:released,0.08442845207590614,0.6599109648370116
mulen_keep,16.080897576471003,20.0040638566256
mulen_release,12.54561151840775,13.9926193207396
P(not overfished),0.6666666666666666,1
P(not overfishing),0.9166666666666666,1
release_wt,299.57500000000005,1936.06
spawning biomass,33781.68,189624.18
total catch,10941.695,22398.754999999997
trophy,0,0.02451847844907155
